"__v",_id,coordinates,createdAt,geo,hashtags.0.indices.0,hashtags.0.indices.1,hashtags.0.text,hashtags.1.indices.0,hashtags.1.indices.1,hashtags.1.text,place.attributes,place.bounding_box.coordinates.0.0.0,place.bounding_box.coordinates.0.0.1,place.bounding_box.coordinates.0.1.0,place.bounding_box.coordinates.0.1.1,place.bounding_box.coordinates.0.2.0,place.bounding_box.coordinates.0.2.1,place.bounding_box.coordinates.0.3.0,place.bounding_box.coordinates.0.3.1,place.bounding_box.type,place.country,place.country_code,place.full_name,place.id,place.name,place.place_type,place.url,text,tweetId,user.location,user.name,user.screenName
0,5adad80eccead8d7252345e1,,2018-04-21T06:19:57.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @RealJamesWoods: Your corruption was not a flesh wound,  but a systemic rot of your entire being. YOU were never going to let you be pre…",987576653730770940.0,,Qdaysunny,qdaysunny
0,5adad80eccead8d7252345e6,,2018-04-21T06:19:57.000Z,,,,,,,,,,,,,,,,,,,,,,,,,Pressure to Release Comey Memos May Have Backfired on GOP - https://t.co/8IO8e2XmDc via https://t.co/xBEP3TJh1i,987576653911126020.0,"Peabody, MA",Tom Looby,mapocoloco
0,5adad80eccead8d7252345e9,,2018-04-21T06:19:57.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @Taniel: A reminder Greitens was so convinced of his own destiny he reserved a website for a *presidential* bid seven years before runni…,987576654393311230.0,NOTB & SOTB,LdM BeachGirl,LdM_BeachGirl
0,5adad80eccead8d7252345ee,,2018-04-21T06:19:57.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @kylegriffin1: A group of Democratic senators is asking the Trump admin to explain its ties to Charles and David Koch after the brothers…,987576654649348100.0,,Diana Valadez,DianaV500
0,5adad80eccead8d7252345f2,,2018-04-21T06:19:57.000Z,,,,,,,,,,,,,,,,,,,,,,,,,@CamAnalytica scandal demonstrated a banal fact about @Facebook: it has built a mammoth revenue model on data minin… https://t.co/nD2hIdw70j,987576654234046460.0,,AHTribune,AHTribune
0,5adad80eccead8d7252345f5,,2018-04-21T06:19:57.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @remain_central: “All the justifications for Brexit are being dismantled” — the MEPs fighting to stop British departure.\n\nMany MEPs beli…,987576655320354820.0,,frank harrison,bogwopitt
0,5adad80fccead8d7252345fe,,2018-04-21T06:19:58.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @kylegriffin1: The Education Department’s Office for Civil Rights has begun dismissing hundreds of civil rights complaints under a new p…,987576658449391620.0,"Indiana, USA",pdillyin,Okieoriginal
0,5adad810ccead8d725234605,,2018-04-21T06:19:59.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @GaetaSusan: Desperation has set in. This Communist Party will do ANYTHING! Honestly, I've had it! These vermin are the lowest of low. I…",987576663981506560.0,The Titanic State or CA,Flavius Aetius,StupidBoomers
0,5adad810ccead8d72523460a,,2018-04-21T06:19:59.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @HackneyAbbott: So Guardian reveals that @AmberRuddHR diverted money from crime-fighting to deport more migrants, only to see violent cr…",987576664141062140.0,"Beaminster, England",Ian Corke,CorkyMrC
0,5adad810ccead8d72523460d,,2018-04-21T06:19:59.000Z,,,,,,,,,,,,,,,,,,,,,,,,,@republic @adgpi Army knew it was not enough why did they not defend his integrity as respect of institution was at… https://t.co/QRRmJoMpby,987576664929402880.0,Mumbai,Rebel4acause,Aneilkumar4
0,5adad810ccead8d725234611,,2018-04-21T06:19:59.000Z,,52,73,TheyAllAreSlimeBalls,,,,,,,,,,,,,,,,,,,,,RT @Top_Sergeant: There is no loyalty among vermin. #TheyAllAreSlimeBalls https://t.co/X6AjbnXEkA,987576665432903680.0,Ground Zero,"Navy Corpsman, They Call Me Doc",brackster39
0,5adad811ccead8d72523461b,,2018-04-21T06:20:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @iUsama719: politics twitter is so lame and sometimes well below the levels of respect and morality,987576666955362300.0,Flower,性格内向,Lifeless435
